Vitesse(km/h);GES*(g/km);CO(g/km);HCCOV(g/km);NOx(g/km);SOX(g/km);PM2,5(g/km);PM10(g/km);Carburant(L/km)
5;985;3.891;0.270;0.108;0.00634;0.00753;0.00849;0.427
10;557;2.347;0.145;0.087;0.00359;0.00470;0.00529;0.241
15;406;1.805;0.100;0.078;0.00262;0.00357;0.00403;0.176
20;336;1.554;0.078;0.070;0.00216;0.00283;0.00319;0.146
25;290;1.401;0.064;0.062;0.00187;0.00226;0.00255;0.126
30;260;1.331;0.056;0.058;0.00167;0.00203;0.00229;0.113
35;237;1.269;0.050;0.057;0.00153;0.00192;0.00217;0.103
40;221;1.212;0.045;0.057;0.00143;0.00191;0.00216;0.096
45;211;1.171;0.042;0.058;0.00136;0.00192;0.00216;0.091
50;202;1.136;0.039;0.059;0.00131;0.00193;0.00218;0.088
55;198;1.109;0.038;0.063;0.00128;0.00195;0.00220;0.086
60;195;1.086;0.036;0.065;0.00126;0.00197;0.00222;0.085
65;193;1.067;0.035;0.068;0.00124;0.00199;0.00224;0.084
70;191;1.051;0.034;0.070;0.00123;0.00200;0.00226;0.083
75;188;1.040;0.033;0.072;0.00122;0.00200;0.00225;0.082
80;186;1.035;0.033;0.073;0.00120;0.00197;0.00223;0.081
85;183;1.032;0.032;0.073;0.00118;0.00195;0.00220;0.080
90;181;1.033;0.031;0.074;0.00117;0.00193;0.00218;0.079
95;180;1.041;0.031;0.076;0.00116;0.00194;0.00219;0.078
100;181;1.084;0.020;0.080;0.00117;0.00200;0.00226;0.079
105;184;1.153;0.008;0.085;0.00119;0.00211;0.00238;0.080
